,NeteaseMusic,NeteaseMusic,NeteaseMusic,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud
71,412327687,Every Time I Hear That Song,215829,262872047,Every Time I Hear That Song,30000,True,35,False,0,6116,Country
72,412327692,Go Ahead and Break My Heart,265195,262872079,Go Ahead and Break My Heart (feat. Gwen Stefani),30000,True,14,False,0,2529,Country
73,412327685,She's Got a Way With Words,191541,262872077,She's Got a Way With Words,30000,True,107,False,0,16531,Country
74,428375814,Bored to Death (Steve Aoki Remix),238561,263284333,Bored To Death,30000,True,640,False,0,47140,Rock
75,479198472,Rabbit Hole,155820,273370253,Rabbit Hole - Blink 182 [California] VideoNDescription Youtube: Der Witz,213988,True,3,True,94,21,Hip-hop & Rap
78,16699240,Jingle Bell Rock,130560,299323965,Bobby Helms - Jingle bell rock,128247,True,0,False,0,3,
79,3950785,Livin' On A Prayer,251400,16737972,Livin On A Prayer - Bon Jovi,254162,True,1113,False,0,81113,
80,412951255,Without a Fight,234631,270777582,Without A Fight by Brad Paisley Feat. Demi Lovato Cover,172083,True,0,True,8,3,Country
83,422390558,The Weekend,190537,274298239,The Weekend,30000,True,98,False,0,19811,Country
85,2217842,Rockin' Around the Christmas Tree,125832,307468464,Brenda Lee -Rockin Around The Christmas Tree,125450,True,0,True,13,6,
86,461544798,Somethin' I'm Good At,217312,308153939,Somethin' I'm Good At,30000,True,23,False,0,2569,Country
87,34468882,Wanna Be That Song,236277,218060089,Wanna Be That Song,30000,True,66,False,0,22402,Country
88,403382427,In Case You Didn't Know,224914,354916562,Kane Brown - Heaven.  Josh Turner - Hometown Girl.  Brett Young - In Case you Didn't Know.  Old Dominion - No Such thing as a Broken Heart,853342,True,267,False,0,42693,
89,403382424,Sleep Without You,187872,316649679,Brett Young-sleep without you,164325,True,0,False,15,8,Country
90,421203369,Make Me... ,231266,278323698,Britney Spears Ft. G-Eazy - Make Me (Tom Budin Official Remix),189248,True,156,False,0,7651,Budin Future
92,421203369,Make Me... ,231266,278323698,Britney Spears Ft. G-Eazy - Make Me (Tom Budin Official Remix),189248,True,156,False,0,7651,Budin Future
93,418708830,What the World Needs Now Is Love,224049,275363870,What The World Needs Now Is Love - Broadway For Orlando (DJ Mike Cruz House Mix),530020,True,4,False,0,91,House
94,469508782,Dance Like Me,172329,310272316,Dance Like Me,172267,True,123,False,0,1973,
95,37993599,It Ain't My Fault,216842,256211554,It Ain't My Fault,30000,True,37,False,0,4302,Country
96,433681259,24K Magic,226906,289018517,Bruno Mars - 24K Magic (Conor Maynard vs. Alex Aiono),214170,True,310,False,0,41434,Pop
98,441120471,That's What I Like,206693,316751337,Bruno Mars - That’s What I Like,288836,True,15,False,100,5610,
100,33516061,Don't,199915,171442160,Bryson Tiller ~ Don't,198418,True,5957,False,0,1337140,Bryson Tiller
101,35040520,Exchange,194664,234878726,Bryson Tiller Exchange,192096,True,430,False,100,81864,Bryson Tiller Exchange
102,1127655,A Holly Jolly Christmas,82939,315986720,A Holly Jolly Christmas,30000,True,1,False,0,116,Oldies
105,406846815,Dancing On My Own,260063,168055366,Dancing On My Own,30000,True,1056,False,0,202050,Pop
106,461544911,Slide,230393,312598587,Calvin Harris Ft. Frank Ocean & Migos - Slide,226162,True,17,False,0,9283,Electronic
107,478029097,Rollin,272269,324706368,Calvin Harris - Rollin Ft. Future & Khalid [Rendition] (Cover by Shayan),264018,True,20,True,174,3317,Synth-funk
108,411314681,This Is What You Came For ,222223,269585702,Calvin Harris & Rihanna - This Is What You Came For(R3hab & Henry Fong Remix),196955,True,1050,False,0,254093,Dance & EDM
109,469065278,Heatstroke,228525,346925194,"Calvin Harris Feat. Pharrell, Ariana Grande, Young Thug - Heatstroke (Official WAV Instrumental)",521,True,0,False,0,5,
110,430297325,My Way,219159,284742305,Calvin harris - My Way,221093,True,197,False,0,23138,
113,479198379,Crying in the Club,216391,331730744,Camila Cabello - Crying In The Club,218141,True,1,True,58,194,Camila Cabello
114,479408889,I Have Questions,221881,323913020,Camila Cabello - I Have Questions,227809,True,21,False,0,8118,Pop
115,414980057,La Bicicleta,227509,266280036,La Bicicleta - Carlos Vives Ft. Shakira (Dj Gindor Rmx),224595,True,1083,False,0,68772,Reggaeton
116,454698192,Church Bells,192200,288690577,"Carrie Underwood - Church Bells,  Earl Dibbles Jr - Merica, Thomas Rhett - Crash and Burn & T-shirt",930150,True,63,False,0,3874,Country
117,35847113,Dirty Laundry,205171,287607937,Dirty Laundry - Carrie Underwood (Cover by Cassidy-Rae),100528,True,8,True,310,161,Carrie Underwood
119,464035730,How Does a Moment Last Forever,217537,315910614,Celine Dion - How Does a Moment Last Forever,100685,True,0,False,0,6,
120,414118705,No Problem,304606,266129708,No Problem (feat. Lil Wayne & 2 Chainz),304693,True,7258,False,0,946061,Hip-hop & Rap
123,402668724,The Only One Who Gets Me,225280,188558497,We Are The Emergency - My Conscience Is The Only One Who Gets Me,287269,True,0,True,48,24,soft rock
124,437605840,After the Afterparty,219506,294265005,After The Afterparty ft. Lil Yachty (Danny L Harle Remix),225640,True,96,False,0,4230,
126,401249910,We Don't Talk Anymore,217779,258143092,Charlie Puth - We Don't Talk Anymore Ft. Selena Gomez (Heyder Remix) [Official Remix],225588,True,5652,False,0,117501,Pop
127,473817398,Attention,208786,318727281,Attention,30000,True,1805,False,0,470768,Pop
128,35470060,One Call Away,192133,220171836,One Call Away,192148,True,4386,False,0,421127,Charlie Puth
133,467952465,No Promises,223503,314294244,No Promises (feat. Demi Lovato),30000,True,473,False,0,109726,Pop
135,440411247,Me And Your Mama,379274,290949554,Me And Your Mama,30000,True,787,False,0,107324,R&B
136,441489378,Redbone,326983,291270561,Redbone,30000,True,3621,False,0,749270,R & B
139,446550006,Party,220865,299265610,Chris Brown - Party ft. Usher & Gucci Mane (Cover/Remix),169158,True,94,False,0,20981,R&B & Soul
140,36496743,Back To Sleep,201691,238276822,Chris Brown - Back To Sleep (Royalty),207561,True,1459,False,0,398034,Chris Brown
141,412016575,Grass Ain't Greener,201482,265356469,Chris Brown - Grass Ain't Greener,186321,True,102,False,100,41058,
142,467805070,Privacy,221022,314890996,Chris Brown - Privacy,208031,True,80,False,100,58435,
143,36062425,Holdin' Her,244584,129179757,Chris Janson - Holdin' Her,248708,True,3,False,0,428,Chris Janson
144,36687268,Fix,189231,252792416,Fix,30000,True,31,False,0,8825,Country
145,36687270,For Her,212218,252792549,For Her,30000,True,30,False,0,6645,Country
146,1152388,Driving Home For Christmas,243826,72605455,Chris Rea - Driving Home For Christmas,241367,True,13,False,100,1695,
147,471411438,Broken Halos,180898,297942319,Chris Stapleton - Broken Halos,177126,True,3,False,0,342,Country
148,476324757,Either Way,248057,318720278,Either Way,30000,True,10,False,0,3625,Country
149,31789301,Fire Away,244000,328267881,Chris stapleton - Fire away,190240,True,1,False,0,14,
150,31789304,Parachute,253000,290262372,Chris Stapleton - Parachute.  Eric Church - Having a Record Year.  Outlaw - Yuppie Folks Cant Survive.  Florida Gerogia Line - Sippin on Fire,849059,True,32,False,0,3831,country
151,31789305,Tennessee Whiskey,293000,464966859,Chris Stapleton-Tennessee Whiskey,294530,True,0,False,0,1,Entertainment
152,35847270,Think of You,220264,260416837,Think Of You (Cover) - Chris Young & Cassadee Pope,214771,True,0,False,62,345,Country
153,36388185,Sober Saturday Night (feat. Vince Gill),194612,300825684,Sober Saturday Night,200690,True,0,False,0,0,Country
156,417613370,Change,186897,276354483,Christina Aguilera - Change,180418,True,0,True,34,26,Christina Aguilera
157,32272029,Tilted,233000,218060850,Christine and the Queens - Tilted (Paradis Remix),350178,True,91,False,0,11249,Pop
158,22078171,Johnny B. Goode,161332,41575549,Johnny B Goode (Chuck Berry),162125,True,36,False,0,6792,Rock 'n' Roll
159,414980062,Tears,225959,272588354,Tears (feat. Louisa Johnson)(99 Souls Remix),218168,True,185,False,0,19089,House
160,436487056,Rockabye,251115,287309000,Rockabye (feat. Sean Paul & Anne-Marie),30000,True,1937,False,0,288922,Dance
161,466126510,Symphony,214866,310374864,Symphony (feat. Zara Larsson),30000,True,841,False,0,136225,Dance
162,436487056,Rockabye,251115,289829014,Clean Bandit - Rockabye Ft. Sean Paul & Anne - Marie  ( Dj.IsI Rework ),252888,True,682,False,100,371326,Dance & EDM
166,463014554,Hypnotised,355172,310830287,Hypnotised - Coldplay,354096,True,0,False,0,769,Piano
167,409149363,Flatliner,176285,256822383,Flatliner (feat. Dierks Bentley),30000,True,65,False,0,9466,Country
168,409149364,Middle of a Memory,227346,260852462,Middle of a Memory,30000,True,219,False,0,39397,Country
169,39122599,You Should Be Here,189985,236107824,You Should Be Here,30000,True,780,False,0,73635,Country
170,458697639,The Scientist,196040,326788790,Corinne Bailey Rae - The Scientist,196170,True,0,True,36,17,Cover
171,426107655,Ain't Giving Up,158537,279960979,Craig David & Sigala - Ain't Giving Up (Sigala Club Edit),229898,True,103,False,0,10066,Dance & EDM
172,415793672,Broccoli,225253,285473257,D.R.A.M & Lil Yachty - Broccoli (Kahoot Version) [Original],80071,True,95,False,0,3250,Mashup
174,412187079,Wishing ,252377,260206617,"DJ Drama ""Wishing"" featuring Chris Brown, Skeme, and Lyquin",252391,True,465,False,0,187118,Hip-hop & Rap
175,426434116,Too Much Sauce,223137,270727594,DJ Esco - Too Much Sauce Feat Future & Lil Uzi Vert [Prod By DJ Esco & Zaytoven],218350,True,6686,False,0,913112,
176,459078798,Shining,281043,310557272,DJ Khaled - Shining Ft. Beyonce & Jay Z,255631,True,13,False,0,10030,
177,416011536,For Free,183762,276671692,DJ Khaled Ft. Drake - For Free DJ-Sup3Rn0vz,199593,True,80,False,0,39937,Hip-hop & Rap
179,418602694,I Got the Keys ,219820,275947922,I Got The Keys - Dj Khaled Ft. Jay Z & Future,140708,True,21,False,1324,4323,Hip-hop & Rap
180,475207448,I'm the One ,288876,320064243,"I'm The One - DJ Khaled, Justin Bieber, Quavo, Chance The Rapper, Lil Wayne (Piano Cover)",288418,True,99,False,0,16666,Pop
181,422790152,Do You Mind,325613,276979371,"Dj khaled - Do You Mind Ft. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future (cover/remix)",257695,True,94,False,0,27771,R&B & Soul
184,422977350,Holy Key,282144,193111826,DJ KHALED - Holy Key,204610,True,12,False,0,62,Hip-hop & Rap
185,418602694,I Got the Keys ,219820,274404967,DJ Khaled feat. Future & Jay-Z - I Got The Keys (Awoltalk Remix),171170,True,287,False,0,11411,Trap
186,459078798,Shining,281043,310557272,DJ Khaled - Shining Ft. Beyonce & Jay Z,255631,True,13,False,0,10030,
187,447280985,OTW (Remix),222125,294161510,OTW (Remix) [Feat. 2 Chainz],219630,True,19,False,0,10623,Hip-hop & Rap
188,533582300,Key to the Streets,345103,290586209,Slim Thug Key to the Streets (Remix) [feat. killa kyleon,143372,True,1,False,0,343,Hip-hop & Rap
189,35539137,Middle,220633,257275094,DJ Snake ft. Bipolar Sunshine - Middle (4B Remix),177440,True,577,False,0,66362,Jersey Club
192,27888500,Turn Down for What,213838,125529024,TURN DOWN FOR WHAT - DJ SNAKE & LIL JON,213622,True,21571,False,0,901229,CRUNK
196,461544287,Cash Me Outside (#CashmeOutside),129451,330189276,DJ Suede The Remix God - Cash Me Outside (#CashMeOutside),173756,True,0,False,0,119,Hip-hop & Rap
197,34722449,Cake By The Ocean,218488,260402125,Cake By The Ocean,30000,True,970,False,0,69902,Pop
199,409736083,Shaky Shaky,234370,261415172,Daddy Yankee - Shaky Shaky,231883,True,2,False,100,2050,Reggaeton
200,417911071,"Wat U Mean (Aye, Aye, Aye)",181786,248429618,"Dae Dae - Wat U Mean (Aye, Aye, Aye)",181855,True,2130,False,0,457171,daedae
201,402677250,From The Ground Up,254328,245566366,From the Ground Up,30000,True,475,False,0,50947,Country
202,411921846,How Not To,193282,262435920,How Not To,30000,True,19,False,0,9280,Country
203,457770259,When I Pray For You,209173,304692535,When I Pray For You,30000,True,10,False,0,2686,Country
204,464035727,Evermore,194541,313419250,Evermore - Dan Stevens (HVK Cover),221381,True,1,False,0,125,Soundtrack
205,419238485,If I Told You,211719,270528279,If I Told You,30000,True,46,False,0,12101,Country
207,3406918,Titanium,237586,27086074,David Guetta ft. Sia - Titanium (Nicky Romero Remix),131601,True,1123,False,0,137459,
209,33389023,Night's On Fire,189000,256150068,Night's On Fire,30000,True,54,False,0,11172,Country
210,32341840,Hide Away,191000,227358350,Daya - Hide Away (VIRTU Remix),212708,True,892,False,0,159263,Daya
211,433681275,"Sit Still, Look Pretty",202292,280346064,"Daya - Sit Still, Look Pretty (R!OT Remix)",206803,True,216,False,0,17935,Dance & EDM
212,419594193,Body Say,193893,271990913,Demi Lovato - Body Say,190607,True,13,False,0,1695,Pop
215,422132414,Tiimmy Turner,239911,286143510,Tiimmy Turner (Remix) [feat. Kanye West],30000,True,121,False,0,23555,Hip Hop
216,414979056,Different for Girls,180953,266680200,Dierks Bentley - Different For Girls  Ft. Elle King-JavierMartinezVevo,204636,True,13,False,0,5719,TRAP
217,412902122,Black,210465,313703482,Dierks Bentley - Black (ZANKY REMIX),236377,True,0,False,0,468,Dance & EDM
219,28282494,Drunk On a Plane,254466,146920682,Dierks Bentley - Drunk On A Plane,20978,True,12,False,0,615,Dierks Bentley
220,41636161,Somewhere on a Beach,197137,247106338,Somewhere On A Beach (Dierks Bentley cover),193820,True,37,False,0,1805,Dierks Bentley Somewhere On A Beach
221,460298237,On My Mind,186148,306534176,On My Mind,30000,True,41,False,0,27377,Dance
222,34125287,The Sound Of Silence,248506,237853574,The Sound Of Silence,248578,True,1138,False,0,91404,Disturbed
224,436487741,Sneakin',251356,289681343,"Drake - ""Sneakin' (ft. 21 Savage)"" Type Beat",273605,True,20,False,0,5204,Hip-hop & Rap
225,466343436,Get It Together,250290,313629447,Drake - Get It Together [Instrumental] ft. Black Coffee & Jorja Smith (More Life),255736,True,7,False,0,1870,Hip-hop & Rap
227,34828314,Jumpman,205937,227317035,Drake ft future- jumpman,204610,True,1217,False,0,214681,
228,466343446,Kmt,162560,332301467,Miguel Bastida - Come On Everybody (Wade Remix) VS Drake ft. Giggs - KMT [ JOYRYDE Mashup ],401565,True,17,True,9,728,House
229,466343433,No Long Talk,148250,314024933,Drake x Giggs - No Long Talk (Dropwizz Remix),192070,True,14,False,133,432,Trap
230,466343449,Glow,206070,314058558,Drake - Glow Ft. Kanye West,204166,True,0,False,0,130,
232,411349766,Faithful,290203,263476018,drake Faithful (feat. Pimp C & Dvsn),51,True,0,False,0,14,
233,408332283,Controlla,246851,256774125,DRAKE- CONTROLLA (FEAT. POPCAAN) *HQ* COVER,177151,True,728,False,0,68949,Reggaeton
234,466343442,Portland,236530,325404876,Portland - Drake feat. Quavo & Travis Scott Remix,120200,True,15,True,112,3916,
235,411907124,Too Good,263474,291705884,Drake Rihanna - Too Good,236011,True,0,False,0,2,
236,466343439,4422,186277,315117592,4422 by Drake feat Sampha,236247,True,6,False,0,478,
237,409020734,Pop Style,209513,257530614,Drake Ft. Kanye West & Jay Z (The Throne) - Pop Style (KatManDu REMIX) [Instrumental],207405,True,2,False,0,285,Hip-hop & Rap
238,409031076,One Dance,174033,261880255,Drake - One Dance (Ft. Wizkid & Kyla),216652,True,10,False,0,2537,Hip-hop & Rap
239,466343452,Ice Melts,250700,314673604,Drake  Young Thug  Ice Melts lyrics  YouTube-MP3.mp3,222975,True,1,False,0,87,
242,466343438,Blem,216500,377483987,Drake - Blem,176812,True,0,False,0,180,Hip-hop & Rap
243,466343448,Can't Have Everything,228360,313626446,*SOLD* Can't Have Everything | Drake Type Beat,194760,True,14,False,100,361,Drake type beat
244,411349771,Childs Play,241464,263476012,drake Childs Play,51,True,0,False,0,9,
247,466343453,Do Not Disturb,282110,328196202,Do Not Disturb - Drake (instrumental reprod),270861,True,17,False,0,15331,Hip-hop & Rap
249,436487740,Fake Love,210927,291242502,Drake - Fake Love,134255,True,320,False,0,26022,R&B & Soul
251,411349761,Feel No Ways,240721,263476033,drake Feel No Ways,51,True,0,False,100,4,
252,411349775,Fire & Desire,238213,262961050,Drake - Fire & Desire,174279,True,35,False,0,16756,Hip-hop & Rap
253,466343432,Free Smoke,219960,469384446,Drake Free Smoke,139559,True,2,False,0,2,
257,466343440,Gyalchester,189210,317784324,Drake gyalchester,109019,True,0,True,32,21,
260,466343435,Jorja Interlude,107660,415368603,Jorja interlude Slowed - Drake,29886,True,0,False,0,31,Hip-hop & Rap
263,411349758,Keep the Family Close,328980,261630158,Drake - keep the family close,173730,True,0,False,0,67,Hip-hop & Rap
264,466343447,Lose You,305330,270990756,Drake X Eminem - You & Me vs Over vs Forever vs Lose Yourself,279770,True,5,False,0,2043,Mashup
265,466343437,Madiba Riddim,205150,335437690,Tone - Stith - Drake - Cover - Madiba - Riddim,163045,True,3,False,0,664,
267,466343444,Nothings Into Somethings,153640,324143391,Drake - Nothings Into Somethings,80987,True,2,True,6,21,
269,466343434,Passionfruit,298890,314958177,Drake - Passionfruit (Official Video),195230,True,128,False,0,41706,Hip-hop & Rap
273,411349764,Redemption,334019,264242413,Drake - Redemption,170700,True,5,False,0,2458,R&B & Soul
275,466343450,Since Way Back,368000,315517705,"SINCE WAY BACK , LOCATION by Drake, PARTYNEXTDOOR (More Life) and Khalid Cover - by FANFAN",185800,True,0,False,0,88,R&B & Soul
277,436487741,Sneakin',251356,297918571,Drake - Fake Love x Sneakin' (Normani Kordei Mashup Cover),207900,True,119,False,0,9538,R&B & Soul
278,411349767,Still Here,189916,264231560,Drake - Still Here,186400,True,40,False,0,8126,Hip-hop & Rap
279,41650688,Summer Sixteen,202504,245617866,Drake - Summer Sixteen,174096,True,17,False,789,129,Hip-hop & Rap
280,466343445,Teenage Fever,219630,314175712,Drake - Teenage Fever Cover ( Follow me ❤ ),203669,True,24,False,0,5795,
283,411349760,U With Me?,297424,265802850,Drake - U With Me?,237449,True,6,False,0,1088,Hip-hop & Rap
284,411349776,Views,312029,309051870,Drake - Views,81666,True,0,True,12,1,rap
285,411349763,Weston Road Flows,253585,263476027,drake Weston Road Flows,51,True,0,False,0,3,
287,401421221,Body,220995,256255159,Body (feat. Jeremih),30000,True,179,False,0,105308,Hip Hop
291,36060483,Be The One,202945,230188717,Be The One,30000,True,355,False,0,79455,Pop
292,481535725,Blow Your Mind (Mwah),178583,279416945,Blow Your Mind (Mwah),30000,True,171,False,0,38176,Pop
293,29357152,Mind Reader,185469,255616958,Mind Reader,30000,True,17,False,0,4183,Country
294,419238484,Seein' Red,194118,268977854,Seein' Red,30000,True,32,False,0,3476,Country
295,461167362,Small Town Boy,205728,307668493,Small Town Boy,30000,True,143,False,0,29800,Country
297,425295731,My Girl,197640,260604519,Dylan Scott - My Girl (Stripped),201552,True,13,False,0,2127,
298,451701104,Castle on the Hill,260756,301412442,Ed Sheeran - Castle On The Hill,231727,True,76,False,1000,24265,pop 
299,460043709,How Would You Feel (Paean),280533,308198062,Ed Sheeran - How Would You Feel (Paean),285152,True,22,False,0,11858,
301,451703096,Shape of You,231037,301161123,Shape of You,30000,True,4853,False,0,643061,Pop
303,473602850,Mr. Blue Sky,303340,326576278,Mr. Blue Sky (Originally Performed By Electric Light Orchestra) [Full Vocal Version],304877,True,14,False,0,3563,Karaoke
304,31192799,America's Sweetheart,245000,262860890,Elle King - America's Sweetheart (Risto Remix) [PREVIEW],90991,True,2,False,0,431,Folk House
305,426502151,Still Falling for You,240901,285107325,Ellie Goulding - Still Falling For You (Nick Talos Remix),226632,True,634,False,0,26505,Dance
306,5147375,Step Into Christmas,268000,31592604,Step Into Christmas - Elton John Cover,269790,True,2,False,0,12,
307,430297342,Hurts,238422,288193455,Emeli Sandé - Hurts,236195,True,2,False,0,1072,
308,1297841,Love The Way You Lie,263785,35539963,Eminem Ft Rihanna Love The Way You Lie (Alexander Milchinskiy arrangement),267987,True,136,False,100,40973,
309,1300766,Infinite,241053,120434489,Eminem - Infinite,243405,True,2,False,0,186,Eminem
310,464035724,Something There,174878,300429822,Beauty And The Beast - Emma Watson Singing 'Something There' (2017) - Chipmunk,32838,True,0,False,0,16,Chipmunk
311,461544502,SUBEME LA RADIO,208213,309258289,Enrique Iglesias Feat. Descemer Bueno & Zion Y Lennox - Subeme La Radio (A†lan6 Mix),194996,True,155,False,0,91854,Latin
313,36317583,Kill a Word,199691,256245273,Kill A Word,30000,True,36,False,0,6518,Country
314,36317585,Record Year,179815,290262372,Chris Stapleton - Parachute.  Eric Church - Having a Record Year.  Outlaw - Yuppie Folks Cant Survive.  Florida Gerogia Line - Sippin on Fire,849059,True,32,False,0,3831,country
319,456486030,Keep Your Eyes On Me,251013,313004330,Nightcore Tim McGraw & Faith Hill's “Keep Your Eyes On Me,217515,True,0,False,0,214,R&B & Soul
324,419254882,M.I.L.F. $,162423,277254688,Fergie - M.I.L.F.$,164038,True,3,False,0,222,Pop
325,410607789,Wake Up,224026,266499949,Fetty Wap - Wake Up,226632,True,3,False,0,607,Dance & EDM
327,404783205,Work from Home,214517,257959948,Fifth Harmony - Work From Home Feat. Ty Dolla $ign,199176,True,91,False,0,20062,
329,414980058,That's My Girl,204068,339584297,Fifth Harmony - That's My Girl,3473,True,0,True,8,2,
331,407839677,HandClap,193201,254864491,HandClap,193245,True,905,False,0,78156,Alternative Rock
332,473602853,The Chain,266736,167282580,Fleetwood Mac - The Chain,286850,True,92,False,12,24339,Folk Rock
333,447296411,Cake,184764,325326159,Flo Rida & 99 Percent - Cake,184807,True,13,False,0,1913,Hip-hop & Rap
334,31053306,My House,192000,244865697,Flo Rida - My House,189221,True,1551,False,100,142053,Original
336,426290604,"God, Your Mama, And Me",184111,315733631,God Your Mama And Me - Florida Georgia Line ft Backstreet Boys [Redline Offcial Cover],186218,True,28,False,0,3572,Pop
